map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023,new_number_of_square,old_number_of_square,diff_number_of_square
594,Gymnoris xanthocollis,avibase-FCD72CEE,Gymnoris pyrgita,Yellow-spotted Bush Sparrow,31103,4,1,3
616,Lagonosticta rubricata,avibase-A6034D7F,Lagonosticta rubricata,African Firefinch,30900,5,2,3
269,Streptopelia decipiens,avibase-70BD722B,Streptopelia decipiens,Mourning Collared-Dove,2063,23,20,3
268,Streptopelia semitorquata,avibase-9888B3AE,Streptopelia semitorquata,Red-eyed Dove,2070,19,16,3
1033,Prinia fluviatilis,avibase-1CB41EB5,Prinia fluviatilis,River Prinia,22893,3,0,3
620,Euodice malabarica,avibase-FC6A9CD0,Euodice cantans,African Silverbill,30545,20,17,3
515,Cisticola aridulus,avibase-A2C88219,Cisticola aridulus,Desert Cisticola,23138,9,6,3
30,Gorsachius leuconotus,avibase-3C12AA44,Calherodius leuconotus,White-backed Night Heron,7435,7,4,3
37,Egretta garzetta,avibase-F2858F9F,Egretta garzetta,Little Egret,7421,20,17,3
312,Caprimulgus eximius,avibase-589694DD,Caprimulgus eximius,Golden Nightjar,3677,6,3,3
294,Ceuthmochares aereus,avibase-E0D521B7,Ceuthmochares aereus,Blue Malkoha,3157,5,2,3
373,Dendropicos fuscescens,avibase-0A241B83,Dendropicos fuscescens,Cardinal Woodpecker,11067,13,10,3
448,Phyllastrephus scandens,avibase-E781F61C,Phyllastrephus scandens,Leaf-love,24021,5,2,3
362,Pogoniulus bilineatus,avibase-7749C92B,Pogoniulus bilineatus,Yellow-rumped Tinkerbird,10386,7,4,3
38,Egretta gularis,avibase-DF32B1F9,Egretta gularis,Western Reef-Heron,7426,20,17,3
1021,Bubo ascalaphus,avibase-9FD4D3D9,Bubo ascalaphus,Pharaoh Eagle-Owl,8734,2,0,2
305,Glaucidium perlatum,avibase-70CB00EC,Glaucidium perlatum,Pearl-spotted Owlet,8800,21,19,2
239,Xema sabini,avibase-86182656,Xema sabini,Sabine's Gull,6415,2,0,2
370,Campethera abingoni,avibase-CD2F7C98,Campethera abingoni,Golden-tailed Woodpecker,11499,6,4,2
366,Indicator minor,avibase-50F3668C,Indicator minor,Lesser Honeyguide,10761,10,8,2
382,Calandrella brachydactyla,avibase-4091A51E,Calandrella brachydactyla,Greater Short-toed Lark,22249,6,4,2
420,Lanius excubitor,avibase-DB2501EE,Lanius excubitor,Great Gray Shrike,20705,13,11,2
1011,Calidris melanotos,avibase-ACC99F35,Calidris melanotos,Pectoral Sandpiper,6188,2,0,2
427,Lamprotornis splendidus,avibase-18B10CF9,Lamprotornis splendidus,Splendid Starling,27498,10,8,2
207,Calidris alpina,avibase-15369E8E,Calidris alpina,Dunlin,6156,10,8,2
237,Leucophaeus atricilla,avibase-6CDC3C9C,Leucophaeus atricilla,Laughing Gull,6448,2,0,2
213,Calidris subruficollis,avibase-3A3C62BC,Calidris subruficollis,Buff-breasted Sandpiper,6152,3,1,2
429,Lamprotornis chloropterus,avibase-0AA15ACA,Lamprotornis chloropterus,Lesser Blue-eared Starling,27512,16,14,2
517,Spiloptila clamans,avibase-2A88D0BC,Spiloptila clamans,Cricket Longtail,22637,9,7,2
