map_index,match_map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023
94,,Circaetus gallicus,avibase-8372FFBA,Circaetus gallicus,Short-toed Snake-Eagle,7797
95,,Circaetus beaudouini,avibase-F4E78AFA,Circaetus beaudouini,Beaudouin's Snake-Eagle,7800
96,,Circaetus cinereus,avibase-6904D83F,Circaetus cinereus,Brown Snake-Eagle,7802
97,,Circaetus cinerascens,avibase-4327F813,Circaetus cinerascens,Banded Snake-Eagle,7804
98,,Accipiter melanoleucus,avibase-819AB823,Accipiter melanoleucus,Black Goshawk,8136
99,,Accipiter toussenelii,avibase-35A1472C,Accipiter tachiro,African Goshawk,7974
100,,Accipiter badius,avibase-1A0ECB6E,Accipiter badius,Shikra,7987
101,,Accipiter nisus,avibase-DB376A66,Accipiter nisus,Eurasian Sparrowhawk,8098
102,,Accipiter erythropus,avibase-AFD19C47,Accipiter erythropus,Red-thighed Sparrowhawk,8062
103,,Accipiter ovampensis,avibase-BAE91683,Accipiter ovampensis,Ovambo Sparrowhawk,8097
104,,Melierax metabates,avibase-D2AFD39B,Melierax metabates,Dark Chanting-Goshawk,7900
105,,Micronisus gabar,avibase-922DE9C1,Micronisus gabar,Gabar Goshawk,7910
106,,Kaupifalco monogrammicus,avibase-3EEB66ED,Kaupifalco monogrammicus,Lizard Buzzard,7893
107,,Butastur rufipennis,avibase-45A1D850,Butastur rufipennis,Grasshopper Buzzard,7929
108,,Buteo rufinus,avibase-CC65921F,Buteo rufinus,Long-legged Buzzard,8364
109,,Buteo auguralis,avibase-A16C3B99,Buteo auguralis,Red-necked Buzzard,8372
110,,Buteo buteo,avibase-3C0C325D,Buteo buteo,Common Buzzard,8341
111,,Lophaetus occipitalis,avibase-14B9664A,Lophaetus occipitalis,Long-crested Eagle,7849
112,,Stephanoaetus coronatus,avibase-1E3B3515,Stephanoaetus coronatus,Crowned Eagle,7813
113,,Polemaetus bellicosus,avibase-FDA2E4A3,Polemaetus bellicosus,Martial Eagle,7836
114,,Aquila spilogaster,avibase-9A418C45,Aquila spilogaster,African Hawk-Eagle,7890
115,,Hieraaetus pennatus,avibase-4B8CC285,Hieraaetus pennatus,Booted Eagle,7860
116,,Aquila rapax,avibase-F6D547B2,Aquila rapax,Tawny Eagle,7864
117,,Hieraaetus wahlbergi,avibase-535F3C99,Hieraaetus wahlbergi,Wahlberg's Eagle,7859
118,,Haliaeetus vocifer,avibase-A19B0CF4,Icthyophaga vocifer,African Fish-Eagle,8194
119,,Milvus migrans,avibase-06D9A2C8,Milvus migrans,Black Kite,8165
120,,Pernis apivorus,avibase-ED5A7E8F,Pernis apivorus,European Honey-buzzard,7683
121,,Aviceda cuculoides,avibase-648936C0,Aviceda cuculoides,African Cuckoo-Hawk,7706
122,,Elanus caeruleus,avibase-97C47F3E,Elanus caeruleus,Black-winged Kite,7650
123,,Chelictinia riocourii,avibase-22832FF4,Chelictinia riocourii,Scissor-tailed Kite,7661
124,,Macheiramphus alcinus,avibase-DAE4C523,Macheiramphus alcinus,Bat Hawk,7806
125,,Pandion haliaetus,avibase-1327AC55,Pandion haliaetus,Osprey,7640
126,,Falco biarmicus,avibase-3D3808E3,Falco biarmicus,Lanner Falcon,11862
127,,Falco cherrug,avibase-A9F51494,Falco cherrug,Saker Falcon,11869
128,,Falco peregrinus,avibase-47E58408,Falco peregrinus,Peregrine Falcon,11875
129,,Falco cuvierii,avibase-F56A73BF,Falco cuvierii,African Hobby,11840
130,,Falco subbuteo,avibase-E91E287A,Falco subbuteo,Eurasian Hobby,11836
131,,Falco columbarius,avibase-F3DA111C,Falco columbarius,Merlin,11825
132,,Falco chicquera,avibase-6A64EFCB,Falco chicquera,Red-necked Falcon,11815
133,,Falco ardosiaceus,avibase-3F2BA4F7,Falco ardosiaceus,Gray Kestrel,11812
134,,Falco vespertinus,avibase-997A9437,Falco vespertinus,Red-footed Falcon,11820
135,,Falco naumanni,avibase-BECA271F,Falco naumanni,Lesser Kestrel,11756
136,,Falco tinnunculus,avibase-2DAB45B8,Falco tinnunculus,Eurasian Kestrel,11757
137,,Falco alopex,avibase-D2CAA18B,Falco alopex,Fox Kestrel,11811
138,,Sagittarius serpentarius,avibase-DCBCCEB8,Sagittarius serpentarius,Secretarybird,7638
139,,Campocolinus albogularis,avibase-0EA1D390,Campocolinus albogularis,White-throated Francolin,1608
140,,Pternistis bicalcaratus,avibase-D8267ADE,Pternistis bicalcaratus,Double-spurred Spurfowl,1759
141,,Pternistis ahantensis,avibase-CA53B18D,Pternistis ahantensis,Ahanta Spurfowl,1752
142,,Coturnix coturnix,avibase-CAFE345D,Coturnix coturnix,Common Quail,1677
