TAXON CONCEPT ID,SCIENTIFIC NAME,count,map_index,sort v2023
avibase-BECA271F,Falco naumanni,567,135,11756
avibase-2BD7F8B5,Falco tinnunculus,4,136,11771
avibase-2DAB45B8,Falco tinnunculus,1118,136,11757
avibase-A76838A0,Falco tinnunculus,287,136,11758
avibase-D2CAA18B,Falco alopex,73,137,11811
avibase-0EA1D390,Campocolinus albogularis,25,139,1608
avibase-30DF984A,Campocolinus albogularis,5,139,1609
avibase-D8267ADE,Pternistis bicalcaratus,5217,140,1759
avibase-CA53B18D,Pternistis ahantensis,236,141,1752
avibase-CAFE345D,Coturnix coturnix,138,142,1677
avibase-57B05159,Ptilopachus petrosus,1311,144,958
avibase-A5D4FA72,Ptilopachus petrosus,143,144,959
avibase-1044B438,Numida meleagris,891,145,930
avibase-5A97ECAD,Numida meleagris,95,145,932
avibase-09A0F2EB,Crex egregia,6,146,5297
avibase-9106EBE6,Zapornia parva,15,147,5561
avibase-34D5B04D,Zapornia pusilla,17,148,5562
avibase-72368F24,Zapornia pusilla,7,148,5563
avibase-460708F9,Porzana porzana,8,149,5429
avibase-148F0B01,Zapornia flavirostra,2911,150,5560
avibase-6390FBB7,Sarothrura pulchra,16,151,5191
avibase-6EF64F69,Sarothrura pulchra,117,151,5190
avibase-A927C1AE,Paragallinula angulata,42,152,5432
avibase-8F82FF8C,Gallinula chloropus,1475,153,5436
avibase-865C039E,Porphyrio madagascariensis,1474,154,5496
avibase-53288666,Porphyrio alleni,330,155,5488
avibase-B682B2A9,Fulica atra,47,156,5461
avibase-46DECAEE,Podica senegalensis,652,157,5634
avibase-31413BFF,Balearica pavonina,962,158,5664
avibase-6A394479,Ardeotis arabs,125,159,2912
avibase-4FDBC0CB,Neotis denhami,7,160,2927
avibase-5949BDDD,Neotis denhami,2,160,2928
avibase-8F3D1E6F,Lophotis savilei,503,161,2949
avibase-0669BFE7,Eupodotis senegalensis,6,162,2934
avibase-3B287014,Eupodotis senegalensis,55,162,2933
avibase-562F4456,Lissotis melanogaster,107,163,2957
avibase-D16D486D,Actophilornis africanus,4249,164,5972
avibase-C7DB323E,Burhinus oedicnemus,92,165,5722
avibase-85DF723B,Burhinus senegalensis,7230,166,5729
avibase-862F6F04,Burhinus capensis,393,167,5713
avibase-CFA73CC2,Haematopus ostralegus,60,169,5758
avibase-ED663165,Haematopus ostralegus,860,169,5757
avibase-F5E92B22,Vanellus spinosus,11763,172,5828
avibase-D531B5D3,Vanellus tectus,2810,173,5831
avibase-C4EC6263,Vanellus albiceps,339,175,5834
avibase-074251A3,Vanellus senegallus,4404,177,5843
avibase-25A20BA6,Pluvialis apricaria,3,178,5783
avibase-2143A852,Pluvialis dominica,27,179,5786
avibase-27903EF7,Pluvialis squatarola,2550,180,5782
avibase-EDA37B7C,Charadrius hiaticula,3772,181,5802
avibase-35EC3BBF,Charadrius dubius,925,182,5815
avibase-41141E35,Charadrius dubius,55,182,5816
avibase-0F0DCC2F,Anarhynchus pecuarius,1004,183,5904
avibase-4EBB9A28,Charadrius forbesi,3,184,5811
avibase-AA4385A2,Anarhynchus alexandrinus,555,185,5920
avibase-F3AB8E78,Anarhynchus alexandrinus,41,185,5921
avibase-214B3533,Anarhynchus marginatus,374,186,5914
avibase-76E322E3,Numenius phaeopus,1365,188,5981
avibase-F9305BAA,Numenius phaeopus,4167,188,5978
avibase-3BB5CBA6,Numenius arquata,797,189,5993
avibase-454B5CD5,Limosa limosa,1396,190,6009
avibase-840E4B9F,Limosa limosa,28,190,6011
avibase-9A684C99,Limosa lapponica,1285,191,6000
avibase-E0093565,Limosa lapponica,95,191,6001
avibase-18B415D2,Tringa nebularia,5864,192,6116
avibase-15CF9352,Tringa stagnatilis,1224,193,6100
avibase-8E67DC5F,Tringa glareola,3174,194,6101
